TimeStamp,ECG Data,GSR Data
5164,224,426
5175,344,427
5186,282,426
5197,299,427
5208,299,426
5219,259,426
5230,352,426
5241,223,426
5252,383,427
5263,241,426
5274,385,427
5285,280,426
5296,356,427
5307,293,426
5318,288,426
5329,353,426
5340,267,426
5351,360,427
5362,251,426
5373,395,427
5384,253,426
5395,373,426
5406,305,426
5417,317,426
5428,345,426
5439,288,426
5450,391,427
5462,288,426
5473,462,427
5484,299,426
5495,372,427
5506,252,426
5517,289,427
5528,289,426
5539,222,426
5550,319,426
5561,211,426
5572,360,427
5583,196,426
5594,273,427
5605,400,426
5616,654,427
5627,673,427
5638,452,426
5649,36,426
5660,16,426
5671,220,427
5682,114,426
5693,264,427
5704,167,426
5715,282,427
5726,226,426
5737,271,427
5748,302,426
5760,232,426
5771,371,427
5782,256,426
5793,400,427
5804,303,426
5815,415,427
5826,365,426
5837,394,427
5848,427,426
5859,393,426
5870,496,427
5881,365,426
5892,503,427
5903,303,426
5914,336,427
5925,173,426
5936,209,426
5947,141,426
5958,122,426
5969,198,427
5980,113,426
5991,246,426
6002,122,426
6013,304,427
6024,178,426
6035,302,426
6046,239,426
6057,247,426
6068,281,426
6079,250,426
6090,336,426
6102,222,426
6113,365,426
6124,248,426
6135,349,427
6146,271,426
6157,311,426
6168,319,426
6179,245,426
6190,340,427
6201,251,426
6212,384,426
6223,251,426
6234,377,427
6245,274,426
6256,329,427
6267,327,426
6278,293,426
6289,354,426
6300,247,426
6311,384,427
6322,254,426
6333,385,427
6344,270,426
6355,366,427
6366,290,426
6377,326,427
6388,337,427
6400,256,426
6411,373,427
6422,249,426
6433,401,427
6444,292,426
6455,397,427
6466,333,426
6477,369,426
6488,380,426
6499,312,426
6510,370,427
6521,205,426
6532,343,426
6543,213,426
6554,338,427
6565,253,426
6576,323,427
6587,290,426
6598,213,426
6609,251,427
6620,455,426
6631,657,426
6642,673,426
6653,333,427
6664,34,426
6675,183,426
6686,149,426
6697,170,426
6708,205,426
6719,168,426
6730,289,427
6742,176,426
6753,351,427
6764,239,426
6775,338,427
6786,285,426
6797,315,427
6808,347,426
6819,296,426
6830,412,427
6841,308,426
6852,476,426
6863,369,426
6874,506,427
6885,412,426
6896,463,427
6907,419,427
6918,336,426
6929,311,427
6940,148,426
6951,239,427
6962,82,426
6973,212,427
6984,109,426
6995,196,426
7006,158,426
7017,197,427
7028,241,426
7040,176,426
7051,303,426
7062,183,426
7073,324,426
7084,222,426
7095,334,427
7106,274,426
7117,278,426
7128,303,426
7139,233,426
7150,347,427
7161,227,426
7172,371,426
7183,234,426
7194,357,427
7205,258,426
7216,334,426
7227,305,427
7238,267,426
7249,353,427
7260,248,426
7271,375,427
7282,246,426
7293,385,427
7304,257,426
7315,362,427
7326,304,426
7337,297,426
7348,334,426
7359,258,426
7370,373,427
7382,244,426
7393,391,427
7404,268,426
7415,352,426
7426,298,426
7437,316,426
7448,332,427
7459,257,426
7470,370,427
7481,252,426
7492,391,427
7503,261,426
7514,390,427
7525,279,426
7536,331,427
7547,342,426
7558,314,426
7569,381,427
7580,286,426
7591,444,427
7602,308,426
7613,419,427
7624,259,426
7635,290,426
7646,251,426
7657,263,427
7668,304,426
7680,223,426
7691,359,427
7702,225,426
7713,280,427
7724,185,426
7735,608,427
7746,669,426
7757,675,427
7768,137,426
7779,15,426
7790,213,426
7801,101,426
7812,262,427
7823,144,426
7834,284,427
7845,217,426
7856,277,426
7867,263,427
7878,247,426
7889,339,426
7900,235,426
7911,395,427
7922,263,426
7933,417,427
7944,318,426
7955,419,427
7966,389,426
7977,397,427
7988,452,427
7999,399,426
8010,504,427
8022,345,426
8033,432,427
8044,236,426
8055,240,426
8066,137,426
8077,129,427
8088,160,426
8099,92,426
8110,211,427
8121,112,425
8132,266,426
8143,162,426
8154,284,427
8165,209,426
8176,267,427
8187,271,426
8198,235,426
8209,311,427
8220,212,426
8231,366,426
8242,219,426
8253,376,427
8264,249,426
8275,320,426
8286,277,426
8297,287,426
8308,326,426
8320,244,426
8331,371,427
8342,239,426
8353,383,427
8364,250,426
8375,365,426
8386,300,426
8397,297,426
8408,334,426
8419,263,426
8430,379,427
8441,242,426
8452,395,427
8463,262,426
8474,374,427
8485,301,426
8496,341,427
8507,315,426
8518,286,426
8529,368,427
